full_name,phone_number,timestamp,geolocation,place_name,latitude,longitude,city,hour,drone_id,drone_model,drone_speed_kmh,drone_altitude_m,drone_frequency_mhz,drone_range_m,drone_heading_deg,drone_flight_duration_sec,drone_distance_border_m,operator_id,last_signal_time,signal_loss_duration_sec,phone_blackout_flag
Adrian Stockton Marsh,+52 9526077993,2024-04-11 15:51:18,"32.501948, -116.992616",Truck stop Blvd. Insurgentes km 3,32.501948,-116.992616,Tijuana,15,,,,,,,,,,,2024-04-11 15:51:18,62.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-12 02:46:31,"32.513319, -117.024546",Bodega Refrigerada Av. Internacional,32.513319,-117.024546,Tijuana,2,,,,,,,,,,,2024-04-12 02:46:31,235.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-16 18:45:18,"32.516163, -117.013526",PEMEX Gasolinera Blvd. Las Palmas,32.516163,-117.013526,Tijuana,18,,,,,,,,,,,2024-04-16 18:45:18,57.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-17 23:20:53,"32.512212, -117.022713",Bodega Refrigerada Av. Internacional,32.512212,-117.022713,Tijuana,23,,,,,,,,,,,2024-04-17 23:20:53,202.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-19 01:02:20,"29.101413, -110.970516",Bodega Industrial Hermosillo Norte,29.101413,-110.970516,Hermosillo,1,,,,,,,,,,,2024-04-19 01:02:20,114.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-21 04:57:01,"29.097217, -110.973033",Bodega Industrial Hermosillo Norte,29.097217,-110.973033,Hermosillo,4,,,,,,,,,,,2024-04-21 04:57:01,59.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-24 01:04:50,"32.502090, -116.996655",Truck stop Blvd. Insurgentes km 3,32.50209,-116.996655,Tijuana,1,,,,,,,,,,,2024-04-24 01:04:50,238.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-04-30 04:37:29,"31.890679, -112.823202",Lukeville-Sonoyta crossing,31.890679,-112.823202,Sonoyta,4,,,,,,,,,,,2024-04-30 04:37:29,212.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-03 14:38:19,"28.705626, -100.518313",Puente Internacional I area,28.705626,-100.518313,Piedras Negras,14,,,,,,,,,,,2024-05-03 14:38:19,16.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-04 22:13:18,"32.515466, -117.016657",PEMEX Gasolinera Blvd. Las Palmas,32.515466,-117.016657,Tijuana,22,,,,,,,,,,,2024-05-04 22:13:18,44.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-08 00:17:57,"29.058156, -110.937099",PEMEX Blvd. Solidaridad,29.058156,-110.937099,Hermosillo,0,,,,,,,,,,,2024-05-08 00:17:57,25.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-10 02:24:53,"31.884313, -112.838579",Rest stop Hwy 8 km 2,31.884313,-112.838579,Sonoyta,2,,,,,,,,,,,2024-05-10 02:24:53,21.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-15 01:31:50,"29.099339, -110.969989",Bodega Industrial Hermosillo Norte,29.099339,-110.969989,Hermosillo,1,,,,,,,,,,,2024-05-15 01:31:50,232.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-17 15:50:04,"29.062914, -110.936801",PEMEX Blvd. Solidaridad,29.062914,-110.936801,Hermosillo,15,,,,,,,,,,,2024-05-17 15:50:04,162.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-21 17:04:06,"32.515938, -117.012389",PEMEX Gasolinera Blvd. Las Palmas,32.515938,-117.012389,Tijuana,17,,,,,,,,,,,2024-05-21 17:04:06,97.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-22 00:18:00,"29.099730, -110.971187",Bodega Industrial Hermosillo Norte,29.09973,-110.971187,Hermosillo,0,,,,,,,,,,,2024-05-22 00:18:00,140.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-23 01:06:56,"32.505785, -116.997272",Truck stop Blvd. Insurgentes km 3,32.505785,-116.997272,Tijuana,1,,,,,,,,,,,2024-05-23 01:06:56,37.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-27 00:08:07,"32.503877, -116.994317",Truck stop Blvd. Insurgentes km 3,32.503877,-116.994317,Tijuana,0,,,,,,,,,,,2024-05-27 00:08:07,242.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-05-27 04:00:11,"32.508222, -117.022347",Bodega Refrigerada Av. Internacional,32.508222,-117.022347,Tijuana,4,,,,,,,,,,,2024-05-27 04:00:11,264.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-04 22:35:26,"29.098577, -110.971026",Bodega Industrial Hermosillo Norte,29.098577,-110.971026,Hermosillo,22,,,,,,,,,,,2024-06-04 22:35:26,114.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-05 10:34:55,"32.512475, -117.026483",Bodega Refrigerada Av. Internacional,32.512475,-117.026483,Tijuana,10,,,,,,,,,,,2024-06-05 10:34:55,213.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-10 22:46:59,"32.564139, -116.928327",CALIMAX Supermercado Otay,32.564139,-116.928327,Tijuana,22,,,,,,,,,,,2024-06-10 22:46:59,6.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-10 23:37:26,"32.510233, -117.023347",Bodega Refrigerada Av. Internacional,32.510233,-117.023347,Tijuana,23,,,,,,,,,,,2024-06-10 23:37:26,279.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-11 00:30:41,"29.103715, -110.969576",Bodega Industrial Hermosillo Norte,29.103715,-110.969576,Hermosillo,0,,,,,,,,,,,2024-06-11 00:30:41,208.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-11 22:06:08,"32.506844, -117.022242",Bodega Refrigerada Av. Internacional,32.506844,-117.022242,Tijuana,22,,,,,,,,,,,2024-06-11 22:06:08,56.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-16 00:12:59,"32.505300, -116.995617",Truck stop Blvd. Insurgentes km 3,32.5053,-116.995617,Tijuana,0,,,,,,,,,,,2024-06-16 00:12:59,89.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-16 23:53:26,"29.102384, -110.970778",Bodega Industrial Hermosillo Norte,29.102384,-110.970778,Hermosillo,23,,,,,,,,,,,2024-06-16 23:53:26,138.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-17 03:45:01,"32.514268, -117.015029",PEMEX Gasolinera Blvd. Las Palmas,32.514268,-117.015029,Tijuana,3,,,,,,,,,,,2024-06-17 03:45:01,234.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-19 02:01:28,"32.506217, -116.998357",Truck stop Blvd. Insurgentes km 3,32.506217,-116.998357,Tijuana,2,,,,,,,,,,,2024-06-19 02:01:28,140.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-22 11:01:15,"32.511053, -117.025769",Bodega Refrigerada Av. Internacional,32.511053,-117.025769,Tijuana,11,,,,,,,,,,,2024-06-22 11:01:15,232.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-23 13:16:02,"32.504221, -116.993804",Truck stop Blvd. Insurgentes km 3,32.504221,-116.993804,Tijuana,13,,,,,,,,,,,2024-06-23 13:16:02,20.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-28 04:01:28,"24.783014, -107.407701",Bodega Industrial Culiacan Sur,24.783014,-107.407701,Culiacan,4,,,,,,,,,,,2024-06-28 04:01:28,58.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-06-30 00:55:16,"31.895458, -112.826477",Lukeville-Sonoyta crossing,31.895458,-112.826477,Sonoyta,0,,,,,,,,,,,2024-06-30 00:55:16,58.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-01 22:24:01,"32.519169, -117.017893",PEMEX Gasolinera Blvd. Las Palmas,32.519169,-117.017893,Tijuana,22,,,,,,,,,,,2024-07-01 22:24:01,159.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-04 22:57:01,"32.503102, -116.991440",Truck stop Blvd. Insurgentes km 3,32.503102,-116.99144,Tijuana,22,,,,,,,,,,,2024-07-04 22:57:01,177.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-04 22:59:05,"32.500413, -116.998244",Truck stop Blvd. Insurgentes km 3,32.500413,-116.998244,Tijuana,22,,,,,,,,,,,2024-07-04 22:59:05,6.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-06 23:16:27,"32.503113, -116.994542",Truck stop Blvd. Insurgentes km 3,32.503113,-116.994542,Tijuana,23,,,,,,,,,,,2024-07-06 23:16:27,250.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-07 04:59:12,"32.511537, -117.024012",Bodega Refrigerada Av. Internacional,32.511537,-117.024012,Tijuana,4,,,,,,,,,,,2024-07-07 04:59:12,121.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-11 01:12:36,"32.516836, -117.018027",PEMEX Gasolinera Blvd. Las Palmas,32.516836,-117.018027,Tijuana,1,,,,,,,,,,,2024-07-11 01:12:36,236.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-07-30 02:54:34,"32.519661, -117.013246",PEMEX Gasolinera Blvd. Las Palmas,32.519661,-117.013246,Tijuana,2,,,,,,,,,,,2024-07-30 02:54:34,35.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-07 02:27:06,"29.097888, -110.967767",Bodega Industrial Hermosillo Norte,29.097888,-110.967767,Hermosillo,2,,,,,,,,,,,2024-08-07 02:27:06,195.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-09 13:32:42,"32.507247, -117.027293",Bodega Refrigerada Av. Internacional,32.507247,-117.027293,Tijuana,13,,,,,,,,,,,2024-08-09 13:32:42,250.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-10 22:17:48,"32.515952, -117.013336",PEMEX Gasolinera Blvd. Las Palmas,32.515952,-117.013336,Tijuana,22,,,,,,,,,,,2024-08-10 22:17:48,278.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-12 02:24:01,"32.515037, -117.011734",PEMEX Gasolinera Blvd. Las Palmas,32.515037,-117.011734,Tijuana,2,,,,,,,,,,,2024-08-12 02:24:01,240.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-21 02:00:34,"32.526485, -117.006824",Bodega Logistica Zona Rio,32.526485,-117.006824,Tijuana,2,,,,,,,,,,,2024-08-21 02:00:34,95.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-21 03:44:59,"32.499444, -116.998686",Truck stop Blvd. Insurgentes km 3,32.499444,-116.998686,Tijuana,3,,,,,,,,,,,2024-08-21 03:44:59,206.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-23 01:16:03,"32.509485, -117.025251",Bodega Refrigerada Av. Internacional,32.509485,-117.025251,Tijuana,1,,,,,,,,,,,2024-08-23 01:16:03,80.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-26 12:34:54,"24.759316, -107.427256",Almacen refrigerado Hwy 15,24.759316,-107.427256,Culiacan,12,,,,,,,,,,,2024-08-26 12:34:54,28.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-08-28 03:46:26,"32.516234, -117.011639",PEMEX Gasolinera Blvd. Las Palmas,32.516234,-117.011639,Tijuana,3,,,,,,,,,,,2024-08-28 03:46:26,25.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-02 23:00:32,"32.500157, -116.996239",Truck stop Blvd. Insurgentes km 3,32.500157,-116.996239,Tijuana,23,,,,,,,,,,,2024-09-02 23:00:32,245.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-04 00:28:26,"32.514073, -117.014915",PEMEX Gasolinera Blvd. Las Palmas,32.514073,-117.014915,Tijuana,0,,,,,,,,,,,2024-09-04 00:28:26,168.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-04 04:19:46,"32.506636, -116.991079",Truck stop Blvd. Insurgentes km 3,32.506636,-116.991079,Tijuana,4,,,,,,,,,,,2024-09-04 04:19:46,88.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-07 22:24:19,"28.693430, -100.507866",PEMEX Carranza 340,28.69343,-100.507866,Piedras Negras,22,,,,,,,,,,,2024-09-07 22:24:19,231.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-14 01:05:40,"32.521846, -117.015015",PEMEX Gasolinera Blvd. Las Palmas,32.521846,-117.015015,Tijuana,1,,,,,,,,,,,2024-09-14 01:05:40,257.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-21 22:31:32,"29.098608, -110.967270",Bodega Industrial Hermosillo Norte,29.098608,-110.96727,Hermosillo,22,,,,,,,,,,,2024-09-21 22:31:32,226.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-23 03:47:03,"29.098340, -110.971692",Bodega Industrial Hermosillo Norte,29.09834,-110.971692,Hermosillo,3,,,,,,,,,,,2024-09-23 03:47:03,2.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-28 00:33:13,"24.807367, -107.378160",PEMEX Blvd. Universitarios,24.807367,-107.37816,Culiacan,0,,,,,,,,,,,2024-09-28 00:33:13,226.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-09-28 04:50:41,"32.516002, -117.016645",PEMEX Gasolinera Blvd. Las Palmas,32.516002,-117.016645,Tijuana,4,,,,,,,,,,,2024-09-28 04:50:41,187.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-10-15 04:57:57,"32.563034, -116.928307",CALIMAX Supermercado Otay,32.563034,-116.928307,Tijuana,4,,,,,,,,,,,2024-10-15 04:57:57,201.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-10-15 17:49:59,"32.502020, -116.997594",Truck stop Blvd. Insurgentes km 3,32.50202,-116.997594,Tijuana,17,,,,,,,,,,,2024-10-15 17:49:59,237.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-10-16 03:16:35,"32.562211, -116.922179",CALIMAX Supermercado Otay,32.562211,-116.922179,Tijuana,3,,,,,,,,,,,2024-10-16 03:16:35,21.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-10-17 04:19:53,"32.501262, -116.991119",Truck stop Blvd. Insurgentes km 3,32.501262,-116.991119,Tijuana,4,,,,,,,,,,,2024-10-17 04:19:53,179.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-10-18 04:48:44,"28.709881, -100.532000",Almacen zona aduanal,28.709881,-100.532,Piedras Negras,4,,,,,,,,,,,2024-10-18 04:48:44,223.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-10-31 23:36:20,"32.513686, -117.027300",Bodega Refrigerada Av. Internacional,32.513686,-117.0273,Tijuana,23,,,,,,,,,,,2024-10-31 23:36:20,140.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-01 01:05:00,"29.098069, -110.968235",Bodega Industrial Hermosillo Norte,29.098069,-110.968235,Hermosillo,1,,,,,,,,,,,2024-11-01 01:05:00,273.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-07 02:43:14,"32.506460, -117.026579",Bodega Refrigerada Av. Internacional,32.50646,-117.026579,Tijuana,2,,,,,,,,,,,2024-11-07 02:43:14,238.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-12 04:28:13,"32.521972, -117.016574",PEMEX Gasolinera Blvd. Las Palmas,32.521972,-117.016574,Tijuana,4,,,,,,,,,,,2024-11-12 04:28:13,99.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-12 22:25:17,"31.882274, -112.840230",Rest stop Hwy 8 km 2,31.882274,-112.84023,Sonoyta,22,,,,,,,,,,,2024-11-12 22:25:17,190.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-16 00:19:36,"32.518648, -117.015983",PEMEX Gasolinera Blvd. Las Palmas,32.518648,-117.015983,Tijuana,0,,,,,,,,,,,2024-11-16 00:19:36,198.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-18 22:45:23,"32.510877, -117.024642",Bodega Refrigerada Av. Internacional,32.510877,-117.024642,Tijuana,22,,,,,,,,,,,2024-11-18 22:45:23,166.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-11-27 23:38:55,"32.500179, -116.998192",Truck stop Blvd. Insurgentes km 3,32.500179,-116.998192,Tijuana,23,,,,,,,,,,,2024-11-27 23:38:55,76.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-12-03 02:05:49,"32.509306, -117.027234",Bodega Refrigerada Av. Internacional,32.509306,-117.027234,Tijuana,2,,,,,,,,,,,2024-12-03 02:05:49,180.0,0.0
Adrian Stockton Marsh,+52 9526077993,2024-12-04 09:38:25,"32.501983, -116.993799",Truck stop Blvd. Insurgentes km 3,32.501983,-116.993799,Tijuana,9,,,,,,,,,,,2024-12-04 09:38:25,89.0,0.0
